customer_id,first_name,last_name,email,phone,city,state,zip_code,segment,created_at
CUST-0001,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,South Bridget,MD,01352,Consumer,2025-09-03
CUST-0002,Erik,Henderson,eric51@example.org,(615)759-4078x1618,Lake Chad,CA,87174,Consumer,2024-01-31
CUST-0003,Keith,Miller,michellejames@example.com,+1-952-855-3419x2832,Veronicaside,NY,29286,Consumer,2025-06-14
CUST-0004,Megan,Parsons,lydiatrujillo@example.com,513-695-3767x242,Hurstfurt,MD,47948,Enterprise,2024-01-22
CUST-0005,Whitney,Hicks,camposmichelle@example.org,+1-326-691-6697x8480,Danielchester,IL,21231,Consumer,2024-10-04
CUST-0006,Stephanie,Liu,teresa28@example.org,+1-948-293-2528x8095,West Natashaport,WA,31886,Business,2023-07-29
CUST-0007,Natalie,Arroyo,dennislisa@example.net,001-822-778-2489x63834,Lammouth,VA,16361,Consumer,2024-02-22
CUST-0008,Caleb,Smith,briannasmith@example.net,+1-403-910-5183x4738,Port Thomas,MD,53855,Consumer,2023-12-21
CUST-0009,Collin,Jordan,ujenkins@example.org,+1-610-965-1333x87262,Port Sandra,NY,58583,Enterprise,2025-10-27
CUST-0010,Melissa,Garcia,novaksara@example.org,(267)873-6026,Saramouth,WA,37889,Consumer,2024-09-01
CUST-0011,Susan,Cowan,smoore@example.org,4982050097,Port Jacobland,IL,89002,Consumer,2025-12-25
CUST-0012,Richard,David,bethwilliams@example.org,(799)385-4353x46247,South Christineshire,IL,13605,Business,2023-08-15
CUST-0013,Jason,Baker,nicole35@example.com,(378)449-8084,Darrellville,NY,97811,Business,2025-01-21
CUST-0014,Joseph,Jacobs,james48@example.com,801-264-0052x427,North Sierraberg,WA,72012,Business,2023-07-05
CUST-0015,Mike,Tran,tanderson@example.com,4535315869,Port Lisa,VA,54541,Consumer,2023-06-23
CUST-0016,Jill,Cook,vpham@example.org,521-260-7337x543,South Mark,FL,09600,Business,2026-04-19
CUST-0017,Joshua,May,ifrazier@example.com,8147294019,Samuelhaven,CA,15658,Consumer,2024-07-21
CUST-0018,Barbara,Scott,zsmith@example.net,+1-835-661-5951x48465,East Robert,NY,50196,Business,2025-06-06
CUST-0019,Raven,Gilbert,richard04@example.com,969.495.7773,West Zacharymouth,MD,12741,Consumer,2025-11-08
CUST-0020,Karen,Chambers,lindsayhernandez@example.org,979.817.6936,East Diana,FL,01227,Consumer,2026-01-28
CUST-0021,Michelle,Mcclure,zrobinson@example.net,870.983.1727x88957,Lake Michelle,TX,59492,Business,2024-03-05
CUST-0022,John,Walsh,rsims@example.com,443-545-5812,Bensonborough,WA,08919,Business,2024-08-23
CUST-0023,Mark,Owens,clarkrobert@example.net,001-509-967-0546x688,West Ryan,VA,04305,Enterprise,2024-07-25
CUST-0024,Elizabeth,Yates,marycalhoun@example.net,+1-906-499-0162,West Nicholasborough,GA,60099,Enterprise,2024-05-18
CUST-0025,Kathleen,Gray,fking@example.com,5802531003,East David,MD,88248,Business,2023-09-29
CUST-0026,Stacie,Marshall,katie29@example.net,001-512-341-9049x6631,Melissaville,MD,74678,Enterprise,2025-09-29
CUST-0027,Michael,Patterson,casey50@example.com,916.857.2628x4987,Marcusbury,CA,11860,Enterprise,2024-03-27
CUST-0028,Shannon,Christensen,frogers@example.com,(273)554-5494,East Jenniferfort,WA,73269,Business,2025-09-03
CUST-0029,Hannah,Brewer,bwest@example.org,736-734-9578x8568,Nelsonview,WA,30718,Consumer,2023-10-06
CUST-0030,James,Wilson,jamesrodgers@example.com,001-498-694-1343x5240,North Angelaberg,MD,84107,Consumer,2026-01-01
CUST-0031,Travis,Salas,taylor75@example.org,2474116719,Port Anna,NY,40325,Business,2023-08-28
CUST-0032,John,Grant,yobrien@example.net,286.377.4964,Lake Jason,MD,87064,Consumer,2023-08-23
